SCI,Assignment ,Short Description,Role,Work Effort,,Work Type,EHR/s Impacted,Status,Phase,System Projected Go-Live Date,Sponsor,Service Line,Assignment Date,Comments/Details,,,,Role Multiplier,Work Type Weight,Phase Weight,Base Hrs/Wk,Active Hrs/Wk,Active,Missing Data
Van,Epic Gold Pharmacy & Nursing Collab,SCI consultant,Co-Owner,XS = Less 1 hr/wk,,Epic Gold,Epic,Complete,Design,,System IT and Rx,Pharmacy & Oncology,,Spreadsheet review and design,,,,1,1,1,0.5,0,No,✓ Complete
,,,Support,XS = Less 1 hr/wk,,Epic Gold,Epic,On Hold,Design,,"System IT, Rx, Rn",Pharmacy & Oncology,,,,,,0.25,1,1,0.5,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
